site,sample,samplecat,urban,city,daterun,alaphe,gluphe,ala,val,leu,gly,nle,pro,asp,glu,phe
L20,3,b,59,liverpool,12/12/2023,3.421549296,2.226027397,13.481,-5.254,5.5465,5.4415,21.7305,12.42,11.519,6.238,3.588
L20,5,b,59,liverpool,13/12/2023,3.051690141,2.317945205,11.3385,9.6515,4.3055,4.2105,23.08,8.117,11.262,7.3925,4.0715
L22,1,a,49,liverpool,10/01/2024,3.34415493,2.200821918,11.4895,-4.5085,2.905,3.4625,18.236,9.627,10.1795,4.612,2.146
L23,2,a,38,liverpool,12/10/2023,3.623873239,2.074109589,14.1145,-1.563,3.587,5.461,15.388,5.625,9.4465,4.326,2.785
L23,1,a,38,liverpool,04/04/2024,2.492676056,2.050410959,6.7965,-0.921,3.406,12.5295,14.4195,9.2345,7.57,4.8665,3.4985
L25,1,c,49,liverpool,24/10/2023,2.735633803,2.425821918,9.609,,6.182,6.0925,18.4875,6.8715,10.329,8.6945,4.586
L25,2,c,49,liverpool,24/10/2023,2.755492958,2.098150685,12.406,,7.2595,6.589,20.416,8.7165,12.366,8.9585,7.242
L25,3,c,49,liverpool,24/10/2023,2.685211268,1.913013699,10.168,,5.3825,5.005,18.484,6.149,10.644,5.868,5.503
L25,4,c,49,liverpool,25/10/2023,2.825985915,2.382054795,11.287,,5.7035,7.2165,20.0855,8.56,13.735,9.4115,5.6225
L25,5,c,49,liverpool,25/10/2023,2.397746479,2.31369863,8.814,,3.765,5.4165,20.779,6.2815,11.481,9.48,6.19
L25,6,c,49,liverpool,25/10/2023,2.665070423,2.355205479,10.5565,,3.364,4.214,19.041,8.3355,11.2735,9.6275,6.0345
L26,1,a,29,liverpool,22/04/2024,2.975985915,2.498150685,9.2355,-13.525,6.7535,4.026,16.0935,10.8275,9.582,7.1425,2.506
L27,1,a,33,liverpool,01/02/2024,2.915,2.219041096,7.8545,-6.4465,-1.126,4.4445,21.6635,8.473,13.794,4.157,1.558
L29,1,a,26,liverpool,01/02/2024,2.401760563,1.901712329,7.365,-7.8285,1.555,3.0065,21.864,6.7605,14.245,4.995,4.7125
L3,1,a,96,liverpool,27/09/2023,2.517746479,2.032054795,10.8435,6.232,7.446,6.555,21.334,2.6875,13.5665,8.6015,7.3675
L3,2,a,96,liverpool,27/09/2023,2.950140845,2.289041096,12.4785,3.991,8.253,7.1235,19.8855,4.1085,12.8125,9.0425,5.9325
L30,1,b,33,liverpool,12/10/2023,3.157605634,1.953424658,12.955,-0.154,5.2965,5.565,18.4485,7.8605,10.8235,5.596,4.936
L30,2,b,33,liverpool,12/10/2023,3.528380282,2.059726027,16.9265,6.006,6.756,9.08,16.357,9.716,10.9465,7.711,6.275
L30,3,b,33,liverpool,12/10/2023,2.690211268,1.922191781,9.285,1.297,6.6695,7.143,14.012,6.43,8.2035,5.0165,4.5845
L31,1,a,14,liverpool,10/01/2024,2.999577465,2.118013699,12.8895,-2.471,6.5475,5.595,18.4955,6.566,12.5835,7.854,5.9925
L31,2,a,14,liverpool,11/01/2024,2.049873239,2.221575342,7.5665,14.5565,5.7198,3.3891,21.5673,13.9793,7.5353,10.0299,7.4124
L32,1,a,15,liverpool,11/01/2024,2.917605634,2.020890411,11.4485,-4.109,6.2285,3.959,18.795,7.88,10.637,6.286,5.1335
L37,1,a,7,liverpool,11/01/2024,2.662957746,2.03869863,10.205,-4.04,6.4195,4.562,17.7215,7.0325,9.994,6.9805,5.698
L38,2,a,8,liverpool,16/04/2024,2.608732394,2.247808219,9.97,4.35,10.6655,6.0875,15.328,14.1625,12.402,8.657,5.848
L38,3,a,8,liverpool,16/04/2024,2.624295775,2.30630137,12.295,4.8015,10.6515,8.8095,14.5255,15.6405,14.8795,11.2985,8.0625
L39,2,a,1,liverpool,16/04/2024,2.532112676,2.158424658,13.4875,2.1395,10.6235,8.5485,16.955,12.961,14.2435,12.066,9.9095
L39,3,a,1,liverpool,16/04/2024,2.429788732,2.775616438,12.2355,-1.9205,8.7265,7.3135,16.1005,11.748,12.899,16.046,9.384
L4,1,a,89,liverpool,09/01/2024,3.114014085,2.110890411,13.6995,11.083,6.4685,5.625,24.038,9.885,13.7585,7.7995,5.99
L40,1,a,5,liverpool,16/01/2024,2.654084507,2.240684932,6.703,8.9445,-1.2985,2.575,20.223,5.959,10.0205,5.016,2.259
L40,2,a,5,liverpool,16/01/2024,2.913802817,2.30869863,7.5995,-11.9435,0.121,1.582,20.3195,4.8105,10.3855,4.565,1.3115
L5,1,c,90,liverpool,19/03/2024,2.922253521,2.219520548,9.991,-1.4945,6.5525,5.287,15.982,11.7505,9.2805,6.2455,3.643
L5,2,c,90,liverpool,20/03/2024,2.83971831,2.522054795,10.3355,2.9455,6.34,5.4115,13.6535,10.6265,10.375,9.3845,4.5735
L5,3,c,90,liverpool,20/03/2024,2.645352113,1.884726027,9.797,-2.23,6.4865,6.224,14.486,8.4365,9.449,5.5735,5.415
L5,4,c,90,liverpool,20/03/2024,2.653732394,2.197191781,9.8735,2.6175,7.059,6.144,11.935,3.9155,9.7765,7.8715,5.432
L5,5,c,90,liverpool,20/03/2024,2.699859155,2.181575342,10.401,2.1995,6.987,6.223,15.824,12.568,9.585,7.9575,5.632
L5,6,c,90,liverpool,20/03/2024,2.901197183,2.413356164,11.9925,2.5675,8.1785,7.942,15.846,8.0495,11.2305,9.8115,5.794
L7,1,b,76,liverpool,27/09/2023,2.947464789,2.203561644,12.506,4.2065,8.731,6.6875,18.303,9.367,11.0315,8.465,5.979
L7,2,b,76,liverpool,04/04/2024,2.596408451,2.872232877,9.8785,3.5077,7.4256,7.0143,16.9813,11.8898,11.5814,13.2113,5.844
L7,3,b,76,liverpool,04/04/2024,2.744014085,2.496712329,9.091,0.2485,8.1,4.927,16.879,11.113,9.6125,8.6345,4.0085
L7,4,b,76,liverpool,04/04/2024,2.709295775,2.174520548,9.5645,2.2125,6.5965,5.321,16.041,12.826,10.6815,7.0025,4.7285
L8,1,a,80,liverpool,31/10/2023,2.799929577,2.156712329,11.1465,,7.3605,5.6385,18.251,7.9695,10.5155,7.811,5.667
L8,2,a,80,liverpool,01/11/2023,2.775070423,2.319794521,11.4525,5.1035,6.0095,8.003,17.7485,9.4905,12.278,9.484,6.1495
L9,1,a,77,liverpool,09/01/2024,2.501126761,1.437054795,12.949,9.6275,5.482,3.909,22.5975,9.221,14.009,6.4815,9.591
M1,1,c,91,manchester,25/10/2023,3.023028169,2.285479452,11.7985,12.6615,4.248,4.979,21.078,7.331,10.922,7.819,4.735
M1,2,c,91,manchester,25/10/2023,3.204225352,2.276027397,12.2,,2.8815,2.5265,22.524,8.366,11.248,6.865,3.85
M1,3,c,91,manchester,26/10/2023,2.775492958,2.125068493,10.077,-1.32,4.975,6.26,18.477,7.7,11.173,6.684,4.771
M1,4,c,91,manchester,26/10/2023,2.902253521,2.416027397,9.805,-1.582,5.8555,5.9115,19.0745,6.485,10.1825,7.636,3.599
M1,5,c,91,manchester,31/10/2023,2.756408451,2.230958904,10.277,,5.244,4.743,17.6415,7.2875,8.8425,7.7925,5.1065
M1,6,c,91,manchester,31/10/2023,2.980352113,2.323561644,10.21,,6.16,4.987,18.3255,7.196,9.6235,6.8115,3.4495
M10,1,b,77,manchester,01/02/2024,2.66443662,1.844178082,9.5705,-7.4645,3.9175,4.995,24.043,8.2605,15.947,4.9155,5.053
M10,2,b,77,manchester,01/02/2024,2.893521127,1.94369863,10.113,-15.665,3.4845,3.814,21.0665,7.867,13.936,4.558,3.969
M10,3,b,77,manchester,17/06/2024,2.84084507,2.805205479,10.721,5.5305,7.387,5.611,18.355,11.3035,14.1345,11.829,4.951
M11,2,a,68,manchester,14/03/2024,2.939084507,2.161917808,10.9545,12.579,7.3345,3.9575,17.063,11.39,13.12,6.669,4.487
M14,1,b,68,manchester,12/10/2023,2.306690141,2.003630137,8.4975,5.34,5.955,5.393,17.876,9.1655,8.6925,7.5465,6.52
M14,2,b,68,manchester,24/10/2023,2.748309859,2.239726027,10.846,,6.5985,8.0495,19.7,7.646,11.4855,8.483,5.733
M14,3,b,68,manchester,24/10/2023,3.045,2.458287671,12.141,,6.868,7.199,19.2065,7.32,11.2925,9.267,4.9215
M18,1,b,57,manchester,17/06/2024,2.759929577,1.947945205,13.985,17.8305,10.755,5.2555,18.21,13.445,14.499,9.4095,8.7895
M18,2,b,57,manchester,17/06/2024,2.743380282,2.00869863,13.257,-10.8945,10.1415,6.116,16.653,11.4205,13.9565,9.2425,8.179
M18,3,b,57,manchester,18/06/2024,2.295774648,1.874931507,9.179,16.587,7.5795,5.309,18.9235,12.727,12.919,7.366,7.279
M19,1,a,54,manchester,24/04/2024,2.872887324,2.127191781,13.37,-5.4955,8.515,7.063,16.8715,13.8785,13.6145,9.301,7.3725
M2,1,c,89,manchester,01/11/2023,2.855070423,2.430068493,10.3195,3.7135,4.8375,6.356,19.7555,7.5365,11.627,8.588,4.4485
M2,2,c,89,manchester,01/11/2023,2.719788732,2.250753425,11.0685,15.0655,8.352,5.58,21.436,10.529,12.7255,8.9885,6.158
M2,3,c,89,manchester,01/11/2023,3.078661972,2.273835616,11.363,-1.7775,5.4525,3.785,19.931,6.024,12.3325,6.9035,3.9045
M2,4,c,89,manchester,01/11/2023,3.172676056,2.224109589,10.799,7.142,5.2505,3.3275,18.151,7.257,10.579,5.309,2.673
M2,5,c,89,manchester,02/11/2023,2.917957746,2.447739726,10.608,6.3495,6.7965,8.765,17.401,10.6485,11.2005,8.559,4.2905
M2,6,c,89,manchester,02/11/2023,2.985070423,2.301917808,11.688,0.7505,5.883,6.403,18.92,9.9445,11.434,8.098,4.894
M20,1,a,62,manchester,09/01/2024,3.105422535,1.954657534,11.8745,11.906,5.568,5.23,19.127,7.229,13,4.895,4.226
M22,1,a,40,manchester,06/11/2023,2.958309859,2.246849315,11.5035,0.742,5.9105,5.264,16.5505,5.1315,10.651,7.7015,4.8995
M22,2,a,40,manchester,06/11/2023,2.937746479,1.789315068,8.507,-0.754,0.6675,2.405,12.5025,8.207,6.4025,1.511,2.049
